unit_id,study_label,country,denominator,timing,setting,altitude,pphn_n,respiratory_n,infection_n,cardiac_non_target_n,pphn_reason,respiratory_reason,infection_reason,cardiac_reason,pphn_status,respiratory_status,infection_status,cardiac_non_target_status,provenance
U_R031,Abu Lehyah 2025,Jordan,712,EARLY_LT24H_PREDOMINANT,WELL_BABY_HOSPITAL_NICU_EXCLUDED,NOT_REPORTED,102,60,145,98,exact count derivable from frozen diagnosis distribution,exact count derivable from frozen diagnosis distribution,exact count derivable from frozen diagnosis distribution,exact count derivable from frozen diagnosis distribution,EXACT,EXACT,EXACT,EXACT,PHASE5_EXTRACTION_BLOCK_09
U_R036,Arlettaz 2006,Switzerland,19,EARLY_6_12H,MULTICENTER_MATERNITY,NOT_REPORTED,5,,,12,exact count derivable from frozen diagnosis distribution,one normal-heart case lacks noncardiac etiologic ascertainment,one normal-heart case lacks noncardiac etiologic ascertainment,exact count derivable from frozen diagnosis distribution,EXACT,NOT_POINT_IDENTIFIABLE,NOT_POINT_IDENTIFIABLE,EXACT,PHASE5_EXTRACTION_BLOCK_21 + POST_RERUN_OVERLAY
U_R049,Hamilcikan 2018,Turkey,9,MIXED_EARLY_AND_POST24H,WELL_BABY_HOSPITAL_NICU_EXCLUDED,NOT_REPORTED,0,2,1,6,exact count derivable from frozen diagnosis distribution,exact count derivable from frozen diagnosis distribution,exact count derivable from frozen diagnosis distribution,exact count derivable from frozen diagnosis distribution,EXACT,EXACT,EXACT,EXACT,PHASE5_EXTRACTION_BLOCK_07
U_R066,Jones 2016,United Kingdom,21,MIXED_EARLY_AND_24H,ASYMPTOMATIC_WELL_NEWBORN_LOCAL_HOSPITAL,NOT_REPORTED,0,12,10,1,exact count derivable from frozen diagnosis distribution,exact count derivable from frozen diagnosis distribution,exact count derivable from frozen diagnosis distribution,exact count derivable from frozen diagnosis distribution,EXACT,EXACT,EXACT,EXACT,PHASE5_EXTRACTION_BLOCK_20
U_R067,Klausner 2017,United States,4,POST24H,MULTICENTER_HOSPITAL_NEWBORNS,NOT_REPORTED,0,0,0,4,exact count derivable from frozen diagnosis distribution,exact count derivable from frozen diagnosis distribution,exact count derivable from frozen diagnosis distribution,exact count derivable from frozen diagnosis distribution,EXACT,EXACT,EXACT,EXACT,PHASE5_EXTRACTION_BLOCK_19
U_R071,Cubells 2018,Spain,5,POST_24H,MULTICENTER_WELL_BABY,NOT_REPORTED,0,0,2,3,exact count derivable from frozen diagnosis distribution,exact count derivable from frozen diagnosis distribution,exact count derivable from frozen diagnosis distribution,exact count derivable from frozen diagnosis distribution,EXACT,EXACT,EXACT,EXACT,PHASE5_EXTRACTION_BLOCK_03 + POST_RERUN_OVERLAY
U_R072,Diller 2018,United States,34,POST_24H,TERTIARY_WELL_BABY,NOT_REPORTED,,,,,10 significant non-CCHD cases lack diagnostic subtypes,10 significant non-CCHD cases lack diagnostic subtypes,10 significant non-CCHD cases lack diagnostic subtypes,10 significant non-CCHD cases lack diagnostic subtypes,NOT_POINT_IDENTIFIABLE,NOT_POINT_IDENTIFIABLE,NOT_POINT_IDENTIFIABLE,NOT_POINT_IDENTIFIABLE,PHASE5_EXTRACTION_BLOCK_03 + POST_RERUN_OVERLAY
U_R089,Johnson 2014,United States,1,UNKNOWN,WELL_BABY_HOSPITAL,NOT_REPORTED,1,0,0,0,exact count derivable from frozen diagnosis distribution,exact count derivable from frozen diagnosis distribution,exact count derivable from frozen diagnosis distribution,exact count derivable from frozen diagnosis distribution,EXACT,EXACT,EXACT,EXACT,PHASE5_EXTRACTION_BLOCK_02
U_R093,Cawsey 2016,United Kingdom,2,EARLY_LT24H,OUT_OF_HOSPITAL_HOMEBIRTH,NOT_REPORTED,0,2,0,0,exact count derivable from frozen diagnosis distribution,exact count derivable from frozen diagnosis distribution,exact count derivable from frozen diagnosis distribution,exact count derivable from frozen diagnosis distribution,EXACT,EXACT,EXACT,EXACT,PHASE5_EXTRACTION_BLOCK_02
U_R099,Tekleab 2019,Ethiopia,56,EARLY_LT24H_PREDOMINANT,WELL_BABY_HOSPITAL,HIGH_ALTITUDE_2600M,10,0,2,13,exact count derivable from frozen diagnosis distribution,exact count derivable from frozen diagnosis distribution,exact count derivable from frozen diagnosis distribution,exact count derivable from frozen diagnosis distribution,EXACT,EXACT,EXACT,EXACT,PHASE5_EXTRACTION_BLOCK_04
U_R100,Cloete 2020,New Zealand,45,EARLY_LT24H_PREDOMINANT,MULTICENTER_WELL_BABY,NOT_REPORTED,3,27,16,0,exact count derivable from frozen diagnosis distribution,exact count derivable from frozen diagnosis distribution,exact count derivable from frozen diagnosis distribution,exact count derivable from frozen diagnosis distribution,EXACT,EXACT,EXACT,EXACT,PHASE5_EXTRACTION_BLOCK_05
U_R101,Singh & Chen 2022,United Kingdom,355,VERY_EARLY_LT12H,WELL_BABY_POSTNATAL_WARD_NICU_PRE_SCREEN_EXCLUDED,NOT_REPORTED,,,,18,156 significant noncardiac diagnoses not etiologically decomposed,156 significant noncardiac diagnoses not etiologically decomposed,156 significant noncardiac diagnoses not etiologically decomposed,18 non-target CHD exact; 11 overlap with noncardiac allowed,NOT_POINT_IDENTIFIABLE,NOT_POINT_IDENTIFIABLE,NOT_POINT_IDENTIFIABLE,EXACT,PHASE5_EXTRACTION_BLOCK_14
U_R108,Shah 2026,India,5,VERY_EARLY_6H,WELL_BABY_HOSPITAL,NOT_REPORTED,2,0,0,1,exact count derivable from frozen diagnosis distribution,exact count derivable from frozen diagnosis distribution,exact count derivable from frozen diagnosis distribution,exact count derivable from frozen diagnosis distribution,EXACT,EXACT,EXACT,EXACT,PHASE5_EXTRACTION_BLOCK_06
U_R109,Murni 2022,Indonesia,8,MIXED_EARLY_AND_POST24H,WELL_BABY_HEALTHY_APPEARING,NOT_REPORTED,0,0,0,7,exact count derivable from frozen diagnosis distribution,exact count derivable from frozen diagnosis distribution,exact count derivable from frozen diagnosis distribution,exact count derivable from frozen diagnosis distribution,EXACT,EXACT,EXACT,EXACT,PHASE5_EXTRACTION_BLOCK_11 + POST_RERUN_OVERLAY
U_R125_BARRANQUILLA_CO,SIBEN Barranquilla 2020,Colombia,38,SIBEN_12_24H_OR_PREDISCHARGE,WELL_BABY_HOSPITAL,SEA_LEVEL_LT250M,,,,12,8 other hypoxemic conditions include PPHN but PPHN count not separable; one VSD+PPHN exact,8 other hypoxemic conditions not decomposed,8 other hypoxemic conditions not decomposed,12 structural CHD table participants remain harmonized-negative,NOT_POINT_IDENTIFIABLE,NOT_POINT_IDENTIFIABLE,NOT_POINT_IDENTIFIABLE,EXACT,PHASE5_EXTRACTION_BLOCK_17
U_R125_ROSARIO_AR,SIBEN Rosario 2020,Argentina,1,PREDISCHARGE_NOT_EXACT,WELL_BABY_ROOMING_IN,NOT_REPORTED,0,1,0,0,exact count derivable from frozen diagnosis distribution,exact count derivable from frozen diagnosis distribution,exact count derivable from frozen diagnosis distribution,exact count derivable from frozen diagnosis distribution,EXACT,EXACT,EXACT,EXACT,PHASE5_EXTRACTION_BLOCK_13
U_NR044,Kumar 2017,India,11,PREDISCHARGE_NOT_EXACT,WELL_BABY_HOSPITAL_NICU_EXCLUDED,NOT_REPORTED,,2,1,8,exact pulmonary-hypertension count not point-identifiable: separate PPHN1 plus PH labels within 9-case source-CCCHD group whose lesion labels overlap,exact count derivable from frozen diagnosis distribution,exact count derivable from frozen diagnosis distribution,exact count derivable from frozen diagnosis distribution,NOT_POINT_IDENTIFIABLE,EXACT,EXACT,EXACT,PHASE5_EXTRACTION_BLOCK_15
U_NR058,Reddy 2018,India,1,EARLY_LT24H,ASYMPTOMATIC_HOSPITAL_BORN,NOT_REPORTED,0,0,0,1,exact count derivable from frozen diagnosis distribution,exact count derivable from frozen diagnosis distribution,exact count derivable from frozen diagnosis distribution,exact count derivable from frozen diagnosis distribution,EXACT,EXACT,EXACT,EXACT,PHASE5_EXTRACTION_BLOCK_16
