unit_id,source_report_ids,primary_representative_report_id,program_cluster_id,country,site_program,frozen_phase45_note,screening_population,setting_flag,altitude_flag,screening_timing_raw,screening_timing_harmonized,screening_algorithm_raw,total_screened,final_failed_screens,study_target_definition_raw,target_definition_flag,harmonized_cchd_cases_among_final_failed_screens,cchd_negative_final_failed_screen_denominator,can_a_n,can_b_n,can_ab_n,strict_can_cchd_n,can_u_n,expanded_can_cchd_n,transitional_nonactionable_n,explicitly_healthy_no_diagnosis_n,unknown_unascertained_n,diagnosis_categories_raw,diagnosis_counts_raw,diagnostic_category_exclusivity,individual_diagnoses,lesion_mapping_status,management_actionability_evidence,ascertained_cchd_negative_failed_screens,ascertainment_pct,ascertainment_ge_90pct,missingness_flag,entry_hold_flag,entry_hold_reason,poolability_status,poolability_reason,source_full_text_provenance,extraction_notes,qa_status
U_R087,R087,R087,,,,Minnesota; R088 companion; implementation-error flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,NOT_YET_ASSESSED,,,,NOT_STARTED
U_R089,R089,R089,,,,clean 1/1 PPHN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,NOT_YET_ASSESSED,,,,NOT_STARTED
U_R093,R093,R093,,,,clean 2/2 respiratory illness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,NOT_YET_ASSESSED,,,,NOT_STARTED
U_R099,R099,R099,,,,PPHN/sepsis overlap; PDA/ASD mapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,NOT_YET_ASSESSED,,,,NOT_STARTED
U_R100,R100,R100,,,,New Zealand; cardiac classification QA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,NOT_YET_ASSESSED,,,,NOT_STARTED
U_R101,R101,R101,,,,denominator convention 360 algorithm-positive vs 189 study-defined true-positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,denominator convention: 360 algorithm-positive vs 189 study-defined true-positive,NOT_YET_ASSESSED,,,,NOT_STARTED
U_R102,R102,R102,,,,category mutual-exclusivity QA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,diagnostic-category mutual exclusivity,NOT_YET_ASSESSED,,,,NOT_STARTED
U_R104,R104,R104,,,,standard extraction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,NOT_YET_ASSESSED,,,,NOT_STARTED
U_R105,R105,R105,,,,detailed noncardiac classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,NOT_YET_ASSESSED,,,,NOT_STARTED
U_R108,R108,R108,,,,early/transitional findings without follow-up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,transitional/actionability mapping,NOT_YET_ASSESSED,,,,NOT_STARTED
U_R109,R109,R109,,,,ASD/PFO actionability mapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,lesion/actionability mapping,NOT_YET_ASSESSED,,,,NOT_STARTED
U_R126,R126,R126,,,,abstract/detail discrepancy; detailed flow governs unless resolved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,abstract vs detailed CCHD-count discrepancy,NOT_YET_ASSESSED,,,,NOT_STARTED
U_R127,R127,R127,,,,high-altitude subgroup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,altitude subgroup + lesion/actionability mapping,NOT_YET_ASSESSED,,,,NOT_STARTED
U_R128,R128,R128,,,,PFO/transitional coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,PFO/transitional coding,NOT_YET_ASSESSED,,,,NOT_STARTED
U_R130,R130,R130,,,,early-screen timing + lesion actionability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,early-screen timing + lesion actionability,NOT_YET_ASSESSED,,,,NOT_STARTED
U_R135,R135,R135,,,,partial alternative-pathology classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,NOT_YET_ASSESSED,,,,NOT_STARTED
U_NR002,NR002,NR002,,,,Gamhewage Sri Lanka; CCHD-negative diagnoses incompletely specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,NOT_YET_ASSESSED,,,,NOT_STARTED
U_NR007,NR007,NR007,,,,Williams out-of-hospital; denominator-convention flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,NOT_YET_ASSESSED,,,,NOT_STARTED
U_NR008,NR008,NR008,DUTCH_POLS_POLAR,,,Dutch POLS; program_cluster_id=DUTCH_POLS_POLAR; non-overlapping with R020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,NOT_YET_ASSESSED,,,,NOT_STARTED
U_NR009,NR009,NR009,,,,altitude; 9 PDA + 12 incompletely characterized positives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,altitude + PDA/incompletely characterized positive mapping,NOT_YET_ASSESSED,,,,NOT_STARTED
U_NR044,NR044,NR044,,,,Bangalore; locked CCHD lesion remapping required,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,locked CCHD lesion remapping required,NOT_YET_ASSESSED,,,,NOT_STARTED
U_NR050,NR050,NR050,,,,Bagalkot representative; NR051–NR054 companions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,lesion/actionability mapping,NOT_YET_ASSESSED,,,,NOT_STARTED
U_NR058,NR058,NR058,,,,ASD+VSD+pulmonary stenosis target mapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,ASD+VSD+pulmonary stenosis target mapping,NOT_YET_ASSESSED,,,,NOT_STARTED
U_NR059,NR059,NR059,,,,West Virginia; 10 confirmed CCHD-negative nominal diagnoses; 2 failed screens without TTE unascertained,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,lesion/actionability mapping + unascertained failed screens,NOT_YET_ASSESSED,,,,NOT_STARTED
U_NR062,NR062,NR062,,,,Nellore; target-definition/lesion mapping; NR063 companion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,target-definition/lesion mapping,NOT_YET_ASSESSED,,,,NOT_STARTED
U_NR064,NR064,NR064,,,,echo-normal CCHD-negative infant is not automatically healthy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,NOT_YET_ASSESSED,,,,NOT_STARTED
U_BIRMINGHAM_R027_MAIN,R014;R027,R027,BIRMINGHAM_POX_PROGRAM,,,April–July 2013 participant-period overlap; R027 main representative; R014 supporting/sensitivity only; never sum as independent.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,NOT_YET_ASSESSED,,,,NOT_STARTED
U_R125_SAN_LUIS_AR,R125,R125,R125_SIBEN_2020,Argentina,"San Luis, Argentina",">1,400 screened; 4 CCHD-negative hypoxemic infants; all required O2; diagnoses not reported → diagnosis_not_reported + treatment_required.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,NOT_YET_ASSESSED,,,,NOT_STARTED
U_R125_ROSARIO_AR,R125,R125,R125_SIBEN_2020,Argentina,"Provincial Hospital Rosario, Argentina","final positive n=1; no CCHD; severe TTN, NICU, O2 5 days.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,NOT_YET_ASSESSED,,,,NOT_STARTED
U_R125_BARRANQUILLA_CO,R125,R125,R125_SIBEN_2020,Colombia,"Hospital Niño Jesús/MACSA, Barranquilla","9,241 screened; 38 positive; detailed structural/hypoxemic table; locked CCHD lesion mapping required.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,locked CCHD lesion mapping required,NOT_YET_ASSESSED,,,,NOT_STARTED
U_R125_SONORA_MX,R125,R125,R125_SIBEN_2020,Mexico,"Sonora program, Mexico","9,181 screened; 22 positive; source category counts arithmetically inconsistent (sum 24).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,22 positives but source categories sum to 24; no forced reconciliation,NOT_YET_ASSESSED,,,,NOT_STARTED
U_R125_GUADALAJARA_MX,R125,R125,R125_SIBEN_2020,Mexico,"private hospital, Guadalajara",">1,000 analyzed; 6 fails; 2 CCHD, 2 PPHN, 2 study-defined true false positives. CCHD-negative denominator=4.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,NOT_YET_ASSESSED,,,,NOT_STARTED
